skirmish	"소규모 접전, 작은 충돌"
inadvertently	"무심코, 우연히, 부주의로"
liberalism 	"진보주의, 자유주의"
integrity	"진실성, 고결, 성실, 청렴"
precaution	"예방책, 조심, 경계, 피임"
indictment	"(제도·사회 등의) 폐단의 흔적, 기소, 고발장"
subpar	"보통 이하의, 수준 이하의"
affectionate	"다정한, 애정 어린"
compatible	"호환이 되는, 양립될 수 있는, 사이좋게 지낼"
teeter	불안정하게 서다
deride	조롱하다
adversary	"(언쟁·전투에서)상대방, 적수"
ballot	"무기명 투표, 투표용지"
scuffle	"실랑이, 실랑이를 벌이다"
dogmatic	독단적인
melee	아수라장
felon	"중죄인, 흉악범"
in light of	"~에 비추어, ~을 고려하여"
homestead	"(농장과 땅이 딸린) 주택, 농가"
acreage	에이커(로 잰 면적)
fend off	"받아넘기다, 막아내다, 피하다"
overture	"(사교·사업·논의 등을 위한)접근, 서곡"
affront	"모욕, 상처, 모욕하다, 상처를 주다"
aghast	"경악한, 겁에 질린"
unpardonable	용서할 수 없는
elude	"이해할 수가 없다, (교묘히)피하다"
insolent	"버릇없는, 무례한"
earnest	"성실한, 진심어린"
verbose	장황한
quack	"돌팔이 의사, 가짜 의사"
sabbatical	안식 기간(특히 대학 교수들이 일상 업무를 벗어나 연구나 여행을 하는 기간)
sectarian	종파의
vanguard	"선봉, 선두"
transcend	초월하다
have a falling out	사이가 틀어지다
simmering	당장에라도 폭발할 것 같은
decree	"법령, 결정, 명하다"
metaphorically	은유적으로
estrange	"떼어 놓다, 사이를 멀어지게 하다"
advent	"도래, 출현"
prognostication	예언
dauntless	"불굴의, 겁없는"
derogatory	"경멸하는, 비판적인"
like-minded	생각이 비슷한
distinguished	"유명한, 성공한, 기품 있는"
overt	"명시적인, 공공연한"
laureate	(뛰어난 업적으로 훈장·상을 받은) 수상자
self-esteem	자부심
lumpectomy	(인체 특히 유방의) 종양 절제술
prosthetic	보철의
resent	분개하다
take the brunt of	"~의 타격을 가장 많이 받다, 정면에서 공격당하다"
fly off the handle	버럭 화를 내다
short fuse	"성질이 급함, 화를 잘 냄, 급한 성질"
bequeath	"물려주다, 남기다"
bestow	"(존경)수여하다, 부여하다"
immitigable	"완화하기 힘든, 달래기 힘든"
down-and-out	"빈털터리, 노숙자, 빈털터리인"
far-fetched	"황당한, 믿기지 않는, 허무맹랑한"
hound	"사냥개, 뒤쫓다, 몰아세우다"
nightmarish	악몽같은
specter	"유령, 망령, 귀신"
lukewarm	"미지근한, 미적지근한, 미온적인"
irate	"성난, 격분한"
bliss	"더없는 행복, 지복"
referral	"(전문적인 도움을 받을 곳으로) 보내기, 소개"
make do with	"견디다, 임시 변통하다, 때우다"
dignity	"위엄, 품위, 존엄성"
spineless	"줏대가 없는, 척추가 없는"
obsequious	아부하는
overbearing	"거만한, 고압적인, 오만한"
low profile	"주목을 거의 못 받는, 저자세"
subservient	복종하는
imposing	"인상적인, 당당한"
self-confident	"자신감 있는, 자신 있는"
pusillanimously	"마음 약하게, 소심하게"
stately	"위풍당당한, 위엄 있는, 우아한"
indispensable	"없어서는 안 될, 필수적인"
wholeheartedly	"진심으로, 전적으로"
barrage	"일제 엄호 사격, (질문 등의) 세례 "
incarcerate	"감금하다, 투옥하다"
volatile	"변덕스러운, 불안한, 휘발성의"
biology	생물학
masterful	"능수능란한, 거장다운"
synthesis	"종합, 통합, 합성"
anthropology	인류학
ecology	"생태, 생태학"
linguistics	언어학
epidemiology	"전염병학, 역학(疫學), 유행병학"
erudite	"학식 있는, 박식한"
vernacular	"(특정 지역·집단이 쓰는) 말, 토착어, 방언"
synopsis	(글·희곡 등의) 개요
subtlety	"미묘함, 절묘함, 교묘함"
epochal	"신기원의, 획기적인"
engrossing	"마음을 사로잡는, 마음을 빼앗는"
head start	(남보다 일찍 시작해서) 유리함
preface	서문(저자가 자신의 목적을 기술)
treatise	논문 [triːt?s;?triːt?z]
causation	(다른 사건의) 야기
subjugate	"지배하에 두다, 예속시키다"
incipient	"막 시작된, 시작의, 초기의"
traction 	"견인, 끌기"
preliterate	문자 사용 이전의
disproportionately	불균형적으로
invoke	"(법·규칙 등을) 들먹이다, 적용하다, (예를)들다"
mercantilism	상업주의
idiosyncratic	"특유한, 기이한, 색다른"
instructive	유익한
tongue in cheek	"조롱조로(말하다), 불성실하게(말하다)"
customarily	"습관적으로, 관례상, 상습적으로"
livid	"몹시 화가 난, 격노한, 시퍼런"
 administer	"관리하다, 운영하다, 집행하다"
mandate	"(정부나 조직의)권한, 통치기간, 명령하다"
supersede	"대체하다, 대신하다"
disparity	(불공평한)차이
decimate	"대량으로 죽이다, 심하게 훼손하다"
hunter-gatherer	수렵채집인
metallurgy	"금속공학, 야금학"
Paleolithic	구석기 시대의
Neolithic	신석기 시대의
disparate	"다른, 이질적인"
impersonate	"가장하다, 흉내내다"
ethicist	윤리학자
sentient	지각이 있는
unnerve	불안하게 만들다
solemn	"침통한, 근엄한, 엄숙한"
render	(어떤 상태가 되게) 만들다
portrayal	(그림·연극·책 등에서의) 묘사
delve into	~을 철저하게 조사하다
sphere	"(활동·영향·관심) 영역, ~권, 구"
recurrent	"되풀이되는, 반복되는, 재발되는"
reconciliation	"화해, 조화"
epidemic	"유행병, 유행성"
indigenous	"(어떤 지역) 원산의, 토착의"
implicit	"암시된, 내포된"
physician	"의사, 내과의사"
prominence	"중요성, 명성, 유명함"
ephemeral	"수명이 짧은, 단명하는"
statehood	"국가의 지위, (미국·오스트레일리아 등에서) 주의 지위"
vestige	"자취, 흔적"
repudiate	"거부하다, 물리치다, 부인하다"
compelling	"주목하지 않을 수 없는, 눈을 뗄 수 없는, 강렬한"
hypothesis	"가설, 추정"
postulate	(이론 등의 근거로 삼기 위해) 상정하다
intact	"온전한, 전혀 다치지 않은"
mortality	"언젠가는 죽어야 함, 사망자, 사망률, 사망"
stunt	"성장을 방해하다, 곡예"
supposed 	소위 ~라는
backwater	"(강의 잔잔한) 후미, 벽지"
Tropic of Cancer	북회귀선
bureaucracy	"관료, 관료정치, 요식체계"
intractable	아주 다루기 힘든
ferocious	"흉포한, 맹렬한, 격렬한"
pessimist	비관주의자
monopolize	독점하다
lay claim to	~에 대한 권리를 주장하다
acclaim	"칭송하다, 찬사"
derive 	"끌어내다, 얻다"
adamantly	단호하게
pacifism	"평화주의, 반전주의"
deplorable	개탄스러운
probation	"보호 관찰, 수습 기간"
to date	지금까지
disregard	"무시하다, 무시, 소홀히 하다"
forgo	(하고·갖고 싶은 것을) 포기하다
spectacle	"구경거리, 장관"
concise	"간결한, 축약된"
sophistry	궤변
clandestinely	"비밀리에, 남몰래"
keen	"날카로운, 강한, 예민한, 열심인"
reconcile	"조화시키다, 화해시키다, 받아들이다"
domestication	가축화
confer	"상의하다, 수여하다, 부여하다"
incorporate	"포함하다, 설립하다"
fare	"가다, 여행하다, 지내다, 일이 되어가다"
mold	"(=mould) 만들다, 주조하다, 강한 영향을 주다, 거푸집"
lopsided	"한쪽이 처진, 한쪽으로 치우친"
inexorable	"멈출 수 없는, 변경할 수 없는, 거침없는"
innate	"타고난, 선천적인"
inborn	"타고난, 선천적인"
rebuttal	"반박, 논박"
underclass	최하층 계급
biogeography	생물 지리학
shelve	"보류하다, 선반에 얹다"
molecular	분자의
outset	"착수, 시초, 발단"
fanatical	"광신적인, 광적인, 열광적인"
exquisite	"매우 아름다운, 정교한, 강렬한"
delicate	"연약한, 허약한, 섬세한"
delineate	"(상세하게) 기술하다, 그리다, 설명하다"
fervent	"열렬한, 강렬한"
succinct	"간단명료한, 간결한"
colic	"배앓이, 산통"
backslide	"(원래의 악습으로) 되돌아가다, 타락하다"
heterosexual	이성애자
in jest	농담으로
oppressive	"억압하는, 답답한"
nip in the bud	미연에 방지하다
unforeseen	"예측하지 못한, 뜻밖의"
lump	"A와 B를 함께 묶다, 덩어리"
constellation	"별자리, 성좌, 무리, 기라성"
conversely	"정반대로, 역으로"
mores	"풍습, 관습"
by contrast	대조적으로
belatedly	"늦게, 뒤늦게, 시대에 뒤지게"
long-haul	"장거리의, 후유증이 오래가는"
in question	"문제의, 의심스러운"
de novo	"처음부터, 새로, 다시"
egalitarian	"평등주의의, 평등주의자의, 평등주의자"
indigenously	토착하여
furnish	"(가구를)비치하다, 제공하다"
culmination	"정점, 최고조"
eccentric	"괴짜인, 별난, 기이한"
misanthrope	사람을 싫어하는 사람
seditionist	"폭동 선동, 난동 교사"
unprovoked	정당한 이유 없는
adverse	"부정적인, 불리한"
innuendo	"빗대어 하는 말, 빈정거림"
insecurity	불안감
Pleistocene	홍적세(洪積世)
gloss over	"얼버무리고 넘어가다, 둘러대다"
confinement	"갇힘, 얽매임, 분만"
crudest	"대충의, 대강의"
flake	"조각, (얇게 조각조각) 벗겨지다, 포를 뜨다"
zoology	동물학
recur	"되풀이 되다, 다시 일어나다"
purport	"(사실이 아닐 수도 있는 것을) 주장하다, 칭하다"
reputation	"평판, 명성"
thought police	사상경찰(사람들의 사상을 통제하는 경찰)
dub	별명을 붙이다
proliferate	"급증하다, 확산되다"
summarily	"약식으로, 즉결로"
naivete	"소박, 단순"
prevail	"만연하다, 승리하다"
divulge	"알려주다, 누설하다"
retort	"쏘아붙이다, 응수하다"
abet	"사주하다, 교사하다"
falcon	매
contemporary	"동시대의, 동년배, 현대의"
awl	송곳
rein	"고삐, 고삐를 매다, 고삐로 조정하다"
roughshod over	~를 거칠게 다루다
in tow	(사람을) 뒤에 데리고
que sera sera	"케세라세라, 될 대로 되라, 어떻게든 되겠지"
pragmatism	실용주의
prodigiously	"유별나게, 막대하게, 엄청나게"
lemur	(마다가스카르산) 여우원숭이
protohuman	"원인, 원시인"
succumb	굴복하다
profusion	"다량, 풍성함"
trivial	"사소한, 하찮은"
feat	"위업, (뛰어난) 솜씨"
forage	먹이를 찾다
magnanimous	"도량이 넓은, 너그러운"
hotheaded	성급한
gaudy	"화려한, 야한, 천박한"
avarice	탐욕
invaluable	"매우 유용한, 귀중한"
flashy	"호화로운, 현란한"
know the drill	어떻게 하는지 알다
christen	세례를 주다
out of whack	제대로 안 돌아가는
bad blood	"증오, 불화, 악감정"
snub	"모욕하다, 무시하다"
mutineer	"반란자, 폭도"
unquestioned	의심할 수 없는
paddle	"노, 노를 젓다"
sloth	나무늘보
paleontologist	고생물학자
hearth	"난로, 가정(생활)"
sublimate	"바람직한 방향으로 돌리다, 승화시키다"
quite a few	상당수
unequivocally 	"모호하지 않게, 명백히"
watercraft	"수상 기술, 배, 선박"
hitherto	"지금까지, 그때까지"
en masse	"(보통 많은 수가) 집단으로, 일제히"
indiscriminately	"무차별적으로, 마구잡이로"
befall	"(안 좋은 일이)닥치다"
elevation	"승진, 승격, 고도"
seafaring	"항해의, 선원의, 해양 관련업의"
revert	되돌아가다
castrate	거세하다
prodigious	"엄청난, 굉장한"
reprisal	"보복, 앙갚음"
supremacy	"패권, 우위, 지상주의"
empty nester	(장성한 자녀가 집을 떠난 뒤) 빈 둥지에 남게 된 부모
hives	두두러기
assertive	"적극적인, 확신에 찬"
hereditary	"유전적인, 세습되는"
gamut	"전체, 전반"
stratify	"층을 이루게 하다, 계층화하다"
subsistence	최저생활
slash-and-burn	화전식의
self-sufficient	자급자족하는
commoner	"평민, 서민"
temperate	"온화한, 차분한"
marginal	"미미한, 중요하지 않은, 주변부의"
atoll	환상 산호도(가운데 해수 호수가 있는 고리 모양의 산호섬)
reef	암초
lagoon	석호
terrain	"지형, 지역"
rolling	"완만하게 경사진, 구릉으로 된"
archipelago	"다도해, 군도"
facet	"측면, 양상"
valet	종자(남자 상전의 개인 수발을 드는 하인)
entourage	(주요 인물의) 수행단
parable	우화
resentment	"분함, 억울함, 분개"
regrettably	"유감스럽게, 애석하게"
dupe	"속이다, 사기를 치다"
retain	"유지하다, 보유하다"
fallow	"놀리는, 휴경"
elaborate	"정교하게 만들어 내다, 정교한"
aquaculture	수경재배
arable	곡식을 경작하는
preclude	못하게 하다
zenith	"천정, 정점, 절정 "
saline	"소금이 든, 염분이 함유된"
encroach	"침해하다, 잠식하다"
prostrate	"엎드리다, 엎드린"
approximate	"거의 정확한, 근사치인, 비슷하다"
requisition	"요청, 징발하다"
jockey	"기수, 다투다"
adze	자귀(나무 다듬는 도구)
no mean feat	상당한 공적
coalesce	(더 큰 덩어리로) 합치다
postdate	"보다 뒤에 발생하다, (수표에) 날짜를 늦춰 적다"
repertoire	"(한 사람이 할 수 있는) 모든 것, 목록, 연주곡목"
commandant	"사령관, (군사학교의) 교장"
flame	"불꽃, 격정"
strike a nerve	신경을 건드리다
closeted	"은밀히 행하는, 비밀의"
elicit	"끌어내다, 유도해 내다"
on your person	몸에 지니고
strait	"해엽, 궁핍"
infer	"추론하다, 암시하다, 뜻하다"
sole	"유일한, 단 하나의, 혼자의"
Norse	"고대 스칸디나비아 사람, (고대) 노르웨이 사람"
conquistador	정복자(16세기에 멕시코나 페루를 정복한 스페인 사람)
ragtag	오합지졸이 모인 듯한
set eyes on	"~를 처음보다, (남과) 만나다"
renege	(약속·합의 등을) 어기다
infinitely	"대단히, 엄청, 무한히"
unmolested	방해 받지 않는
formidable	"가공할, 어마어마한"
excerpt	"발췌, 인용"
relive	(특히 상상 속에서) 다시 체험하다
weave	"(옷감 등을) 짜다, 엮다, (이야기 등을) 엮다"
fortitude	불굴의 용기
perilous	아주 위험한
Spaniard	스페인 사람
invincible	천하무적의
infidel	신앙심 없는 자
heathen	"비종교인, 이교도"
clime	기후가 ~한 국가
prolixity	"장황함, 지루함"
Governor 	"(식민지의) 총독, (미국에서) 주지사"
soever	설혹 ~이라도
homage	"경의, 존경의 표시"
desecrate	(신성한 것을) 훼손하다
trigger-happy	"걸핏하면 총질을 하려 드는, 폭력적인"
able-bodied	"신체가 튼튼한, 몸이 건강한"
pan out	(특정 방식으로) 전개되다
cavalry	"(과거의) 기사, (현대의) 기갑 부대"
artillery	"대포, 포병대"
squadron	"비행 중대, 소함대"
livery	"상징 색, 제복"
litter	"쓰레기, 깔개, 짚"
beseech	"간청하다, 애원하다"
servile	굽실거리는
absolve	"무죄임을 선언하다, (죄를) 용서하다"
sally	"기습 공격, 재치 있는 농담"
dominion	"지배, 지배권, 영토, 영지"
vassal	봉신(봉건 군주에게서 봉토를 받은 신하)
bestial	짐승 같은
antecedent	"선행 사건, 선조, 선행딘"
mace	전곤(戰棍: 끝에 못 같은 게 박힌 곤봉 모양의 옛날 무기)
regrettable	유감스러운
recount	"이야기하다, 말하다"
novelty	"새로움, 참신함, 신기함"
armament	"군비, (대형) 무기"
harquebus	화승총
precipitate	(특히 나쁜 일을) 촉발시키다
aptly	적절하게
cleanse	"세척하다, 죄책감을 씻어 주다"
vice	"(섹스·마약이 관련된) 범죄, 악, 비행"
clandestine	"비밀리에 하는, 은밀한"
antagonistic	적대적인
assume	"추정하다, (권력·책임을) 맡다, (특질·양상을) 띠다"
irrevocable	변경할 수 없는
irretrievably	되돌릴 수 없게
adversely	"불리하게, 반대로"
comparatively	비교적
to the extent	어느 정도로
provocation	"도발, 자극"
populous	인구가 많은
bent on	"열중하고 있는, 결심하고 있는"
grossly	"지독히, 극도로"
heir	"상속인, (왕위·작위의) 계승자"
literacy	글을 읽고 쓸 줄 아는 능력
gulf	"(사고·생활 방식 등의 큰) 격차, 만"
proximate	"가장 가까운, 근접한"
shorthand	"약칭, 속기"
nepotism	"친족 등용, 족벌주의, 정실 인사"
prerogative	"특권, 특혜"
anyone's guess	"예측할 수 없는, 불확실한 것"
cardiovascular	심혈관의
congregant	(집회 등에) 모이는 사람
uncalled-for	"부적절한, 부당한"
saloon	(과거 미국 서부·캐나다에서) 술집
farmhand	"농장 노동자, 농장 일꾼"
coarse 	"거친, 굵은"
disintegrate	"해체되다, 분해되다"
prerequisite	전제 조건
dispossess	"(재산을) 빼앗다, 몰수하다"
bark	나무껍질
rhinoceros	코뿔소
reindeer	순록
derision	"조롱, 조소"
contempt	"경멸, 멸시"
elope	눈이 맞아 함께 달아나다
chanson	샹송
ode	(특정한 사람·사물·사건에 부치는)시
paltry	"보잘것없는, 쥐꼬리만한"
gorge	협곡
irreducible	더 이상 줄일 수 없는
bonkers	완전히 제정신이 아닌
pushover	"식은 죽 먹기, 만만한 사람"
mammal	포유동물
till	(논밭을) 갈다
sod	"떼, 뗏장"
upland	고지대
sedentary	"주로 앉아서 하는, 정주(定住)하는"
lactational amenorrhea	수유 무월경
chiefdom	chief의 지위
nascent	"초기의, 발생기의"
flax	"아마, 아마섬유"
notably	"특히, 현저히, 뚜렷이"
hemp	"삼, 대마"
gourd	(식물) 박
yoke	"멍에, 멍에를 씌우다"
stirrup	(말 안장 양쪽에 달린) 등자
supplant	"(특히 낡거나 구식이 된 것을) 대신하다, 대체하다"
pampas	팜파스(남미의 대초원 지대)
reciprocal	상호간의
reinstate	"복귀시키다, 회복시키다"
on the mend	회복중인
STI	"sexually transmitted infection, 성병"
cuss	욕하다
subequatorial	아(亞)적도대(특유)의
ecological	"생태계의, 생태학의"
breadbasket	곡창 지대
cataclysmic	격변하는
unequivocal	"명백한, 분명한"
morphologically	형태(학)상으로
putative	"추정되는, 추정상의"
morphological	형태학의
chromosomal	염색체의
diverge	"갈라지다, 분기하다"
retribution	"(강력한) 응징, 징벌"
tormentor	괴롭히는 사람
unacknowledged	(마땅히 받아야 할) 감사(칭찬)를 받지 못한
judicial	"사법의, 재판의"
prompt	"촉발하다, 유도하다, 즉각적인"
bleak	"암울한, 절망적인"
grim	"엄숙한, 암울한, 음침한"
settle a score	"원한을 갚다, 보복하다"
rancor	"(깊은) 원한, 유감, 적의"
repercussion	"(어떤 사건이 초래한, 보통 좋지 못한, 간접적인) 영향"
remission	"(병의) 차도, 감형"
chime in	"맞장구치다, 찬성하다"
definite	"확실한, 확고한, 분명한"
skeletal	"뼈대의, 골격의, 해골의"
shoal	"모래톱, (물고기)떼"
rehash	"되풀이하다, 재탕하다"
quagmire	"수렁, 진창"
admonishment	"admonition, 책망, 경고"
debase	"(가치·품위를) 저하시키다, 떨어뜨리다"
pejorative	"경멸적인, 비난투의"
drawback	"결점, 문제점"
peasant	소작농
dispense	"나누어 주다, 내놓다"
inordinately	과도하게
pasturage	목초지
dichotomy	"양분(兩分), 이분(二分)"
foster	"조성하다, 발전시키다"
stepwise	계단식의
prophecy	예언
annex	합병하다
relinquish	"포기하다, 내주다"
retaliation	"보복, 앙갚음"
bombardment	"포격, 폭격, 충격"
appease	"달래다, 요구를 들어주다"
complacently	만족스로운듯이
be liable to do	~할 것 같다
heavy-hearted	"마음이 무거운, 침울한, 비탄에 잠긴"
alter	"변하다, 달라지다, 바꾸다, 고치다"
demagoguery	"민중 선동, 악선전"
take?your?cue?from?somebody	~을 보고 힌트를 얻다
abase	저자세가 되다
kowtow	굽실거리다
cave in	"함몰하다 , (口語)항복하다"
concerted	"합심한, 결연한"
norm	"표준, 규범, 기준"
indiscrete	"(따로따로) 나뉘어져 있지 않은, 밀착한, 연속적인"
unbeknownst to	~가 모르는 사이에
cerebral palsy	뇌성 마비
piecemeal	"조금씩 하는, 단편적인"
foraging	수렵 채집
larder	(특히 옛날 주택의) 식품 저장실
bag	"동물을 잡다, 동물을 죽이다"
trinity	"삼위 일체, 3인조"
porpoise	알락돌고래
Lucifer	"악마, 사탄"
impertinent	"무례한, 버릇없는"
incapacitate	정상적인 생활을 하지 못하게 만들다
thwart	좌절시키다
squabble	옥신각신하다
trump	"으뜸패, 으뜸패를 내다, 이기다"
collegially	"합의제로 , 대학생용으로"
wayward	다루기 힘든
tutelage	"지도, 교육, 보호"
egregious	지독한
nitwit	멍청이
dalliance	"시간 낭비, (성적으로) 놀아남"
side piece	"(보통 기혼 남자의) 정부, mistress"
cement	A와 B를 접합시키다
slab	"평판, 판, (두껍고 반듯한) 조각"
impel	~해야만 하게 하다
affinity	"친밀감, 관련성"
tarn	(산속의 작은) 호수
shroud	수의(壽衣)
disparage	폄하하다
anachronistic	"시대착오의, 시대에 뒤진"
vindictive	"앙심을 품은, 보복을 하려는"
sojourn	체류
downfall	몰락
harangue	"장광설을 늘어놓다, 장광설"
shrew	"성질 더러운 여자, 뾰족뒤쥐"
proviso	"단서, 조건"
disingenuous	솔직하지 못한
Incidentally	"그런데, 그건 그렇고, 부수적으로, 우연히"
jaded	"물린, 싫증난"
progeny	자손
agronomist	농학자
defecate	"배변하다, 대변을 보다"
germinate	"싹트다, 시작되다"
squeamish	비위가 약한
latrine	(야영지 등에서 특히 땅에 구덩이를 파서 만든) 변소
pluck	"(머리카락눈썹 등을) 뽑다, 빼내다"
proposition	(특히 사업상의) 제의
squeak	"끽 하는 소리를 내다, 간신히 해내다"
stand up against	~에 저항하다
dishearten	낙심하게 하다
indiscretion	"무분별한 행동, 경솔한 행동"
toiletries	세면도구
waver	"흔들리다, 주저하다"
By all means	"아무렴, 좋고 말고"
caregiver	"간병인, carer"
see eye to eye	의견을 같이하다
criterion	기준
lint	"보풀, 린트(붕대용으로 쓰는 부드러운 면직물의 일종)"
flax 	아마
antiquity	"고대(특히 그리스· 로마시대), (고대) 유물"
progenitor	"조상, 창시자"
calamity	"재앙, 재난"
utter	"완전한, 순전한, (소리를)내다"
pod	(콩이 들어 있는) 꼬투리
propagate	"전파하다, 번식시키다"
seedling	묘목
trial and error	시행착오
consign	"(무엇을 없애기 위해 어디에) 놓다, 처하게 만들다"
swinger	"성생활이 자유분방한 사람, 세련된 사교가"
prolific	"다작하는, 다산하는"
iconoclasm	우상파괴
canonical	"(성경이) 정본에 속하는, (문학 작품이) 고전으로 여겨지는"
pollinate	수분하다
hybridize	"잡종이 되다, 잡종을 만들다"
graft	"접목, 접붙이기"
sorghum	수수
pulses	"두류, 콩류"
lurid	"야한, 충격적인"
admonition	"책망, 경고"
malady	"심각한 문제, 병폐"
macabre	"섬뜩한, 으스스한"
leach	"침출되다, 침출시키다"
thrush	개똥지빠귀
botany	식물학
horticultural	원예의
indictment 	"(제도·사회 등의) 폐단의 흔적, 고발장, 기소장"
awry	빗나간
momentous	"중대한, historic"
circumscribe	제한하다
benign	"상냥한, 유순한, 양성의"
suffice	충분하다
flagrant	"노골적인, 명백한"
thence	"거기에서, 그 뒤에"
male chauvinist	남성 우월주의자
imposition	"(새로운 법률·세금 등의) 시행, 폐, 부담"
take heat	책임 추궁을 당하다
husbandry	농사(특히 세심하게 잘 짓는 농사를 가리킴)
selfer 	자기복귀유전자
tabulate	(자료를) 표로 만들다
topography	"지형, 지형학"
mockery	"조롱, 조소"
persuasive	설득력 있는
demagogy	민중 선동
predispose	"하게 만들다, 하는 성향을 갖게 하다"
ethnobiology	민족 생물학
acculturate	다른 문화에 성공적으로 동화되다
indiscriminate	"무분별한, 지각없는"
preposterous	"말도 안 되는, 터무니없는"
allegory	"우화, 풍자"
demagogue	선동 정치가
frivolously	"경박하게, 장난삼아"
qualm	"거리낌, 꺼림칙함"
ignoramus	무식한 사람
unpalatable	"불쾌한, 입에 안 맞는"
morphology	형태학
preceding	"이전의, 앞선"
perennial	"다년생의, 지속되는"
palatability	"입에 맞음 , 맛이 좋음"
subsist	"근근이 살아가다, 존속되다"
dearth	"부족, 결핍"
biota	"생물군, 생물상"
well-endowed	"가슴이 큰, 성기가 큰"
a priori	"(라틴어)선험적인, 연역적인"
florescence	"개화, 번성기"
alimony	이혼 수당
reclusive	"은둔한, 세상을 버린"
denigrate	폄하하다
caveat	"통고, 경고"
fallacy	틀린 생각
propagation	"번식, 증식, 선전"
legacy	유산
condone	용납하다
engagingly	"호감이 가는, 매력적인"
parabola	포물선
defer	"미루다, 연기하다"
covenant	"약속, 계약"
paranoia	"편집증, 피해망상"
hermetic	"밀폐된, 밀봉된"
sentinel	"보초병, 감시병"
ferret	흰담비
feral	돌아다니며 사는
instigate	선동하다
long-winded	"길고 지루한, 장황한"
penchant	애호
commendable	칭찬받을 만한
discrepancy	차이
succinctly	"간단명료하게, 간결하게"
residue	"잔여물, 잔여유산"
rigorous	"철저한, 엄격한"
insuperable	극복할 수 없는
mammalian	포유류의
attest	증명하다
ovulate	배란하다
disposition	"기질, 성격"
prostate	전립선
chalk up to	~탓으로 돌리다
counterproductive	역효과를 낳는
irascible	화를 잘 내는
diminutive	아주 작은
self-starter	자발적으로 행동하는 사람
clam up	입을 꼭 다물다
dissident	반체제 인사
consent	"동의, 동의하다"
ineptitude	기량 부족
secretariat	"사무국, 비서과 직원, 비서의 직, 비서실"
preempt	"선매권에 의하여 획득하다, 먼저 차지하다"
precept	"수칙, 계율"
regimented	엄격한
imbibe	(특히 술을) 마시다
wouldn't you know	"생각했던 대로, 역시"
topsy-turvy	"뒤죽박죽, 엉망진창인"
Woe betide	~는 화를 당할지니라(경고의 뜻으로 하는 말)
introspection	"자기성찰, 내성"
drove	무리
contemporaneous	"동시에 발생하는, 동시에 존재하는"
hodgepodge	뒤범벅
