가담항설(街談巷說)	거리에 떠도는 소문.
대경실색(大驚失色)	몹시 놀라 얼굴이 질림.
대기만성(大器晩成)	큰 그릇은 늦게 만들어짐. 크게 될 사람은 늦게 됨.
대동단결(大同團結)	모두가 하나로 화합하여 단결하는 것을 말함.
대동소이(大同小異)	큰 차이가 없이 거의 같고 조금 다르다는 말
독불장군(獨不將軍)	혼자서 모든 일을 처리하려는 사람을 비유하는 말.
독야청청(獨也靑靑)	절개를 굽히지 않고 지킴.
동병상련(同病相憐)	같은 병을 앓는 사람끼리 서로 가엾게 여긴다는 뜻으로 어려운 처지에 있는 사람끼리 서로 동정하고 공감한다는 말
동분서주(東奔西走)	동쪽으로 뛰고 서쪽으로 뜀. 매우 바쁘게 돌아다님.
두문불출(杜門不出)	문을 막고 나가지 아니함.
마이동풍(馬耳東風)	남의 말을 귀담아 듣지 않고 흘려보냄.
막상막하(莫上莫下)	더 낫거나 더 못한 대상이 없음. 서로 비슷함.
만수무강(萬壽無疆)	아무 탈 없이 오래 살음.
망연자실(茫然自失)	멍해서 스스로 정신을 잃음.
맥수지탄(麥秀之嘆)	고국의 멸망을 탄식함.
명경지수(明鏡止水)	맑은 거울과 고요한 물을 이르는 말.
명불허전(名不虛傳)	이름은 헛되이 전해지지 않는다는 뜻. 유명한 데에는 그 까닭이 있음.
명실상부(名實相符)	이름과 실상이 서로 맞다는 뜻.
명약관화(明若觀火)	불과 같이 밝음. 불보듯 뻔함.
목불식정(目不識丁)	넷째천간 정(丁)을 보고도 고무래임을 알지 못한다는 뜻으로, 까막눈알 이르는 말.
무용지물(無用之物)	쓸모없는 사람이나 물건을 이르는 말.
문일지십(聞一知十)	하나를 들으면 열가지를 앎.
문전성시(門前成市)	문 앞이 시장을 이룬다는 뜻으로 권세가 있거나 부자가 되어 집 문 앞이 방문객으로 넘쳐난다는 말
반신반의(半信半疑)	반은 믿고 받은 의심함.
발본색원(拔本塞源)	문제의 원인을 찾아 없애서 다시는 문제가 발생하지 않게 함.
방약무인(傍若無人)	옆에 사람이 없다고 생각하여 함부로 행동하는 태도를 비유하는 말.
백골난망(白骨難忘)	백골이 되어서도 잊지 않는다는 뜻. 은혜를 받았을 때 감사해함.
백년대계(百年大計)	오랜 뒤를 내다보고 세우는 계획.
백면서생(白面書生)	글만 읽고 세상 물정에는 낮선 사람.
백발백중(百發百中)	백 번 쏘아 백 번 맞춘다는 뜻으로 모든 일이 계획대로 들어맞는다는 말
백지장도 맞들면 낫다	아무리 작은 것이라도 함께 힘을 합치면 큰일을 이룰 수 있다는 말.
부화뇌동(附和雷同)	자신의 줏대 없이 남의 의견에 휩쓸림.
분서갱유(焚書坑儒)	진시황이 책을 태우고 유생들을 묻은 사건.
불가사의(不可思議)	사람의 생각으로는 설명할 수 없을 정도로 이상함.
불문곡직(不問曲直)	옳고 그름을 따지지 않음.
불치하문(不恥下問)	아랫사람에게 묻는 것을 부끄러워하지 않음.
붕우유신(朋友有信)	친구 사이에는 믿음이 있어야 함.
빈 수레가 요란하다	속이 텅 비어 있어도 시끄러운 수레라는 뜻으로, 겉치레만 하고 실속이 없는 사람을 비유하는 말.
사농공상(士農工商)	옛날에 선비, 농부, 장인, 상인을 두루 이르는 말.
사면초가(四面楚歌)	동서남북 사방에서 들려오는 초나라의 노래라는 뜻으로 누구에게도 도움을 받을 수 없는 고립된 상태에 처했다는 말
사상누각(沙上樓閣)	모래 위의 누각이라는 뜻으로, 기초 없이 세운 물건이나 상황을 이르는 말.
사필귀정(事必歸正)	모든 일은 반드시 바른 곳으로 돌아감.
살신성인(殺身成仁)	자기 몸을 희생하여 옳은 일을 이룬다는 뜻으로 의로운 일을 위해 목숨을 버린다는 말
삼인행(三人行)	세 사람이 함께 가는 길이라는 뜻으로, 함께 하는 사람의 성격과 행동에 따라 결과가 달라질 수 있음을 비유하는 말.
상전벽해(桑田碧海)	뽕나무 밭이 변해 바다가 됨. 세상이 빠르게 변함.
설상가상(雪上加霜)	눈 위에 서리까지 더한다는 뜻으로 어려운 일이나 불행이 겹쳐서 한꺼번에 일어남을 이르는 말
소탐대실(小貪大失)	작은 것을 탐하다 큰 것을 잃음.
순망치한(脣亡齒寒)	입술이 없으면 이가 시리다는 뜻. 가까운 둘 사이에서 한 쪽이 망하면 다른 쪽도 영향을 받음.
십년공부(十年功夫)	10년 동안 꾸준히 노력하면 어떤 분야에서든 전문가가 될 수 있다는 말.
십시일반(十匙一飯)	밥 열 숟가락이면 한 공기가 된다는 뜻으로, 여러 사람이 조금씩 모으면 한 사람을 도울 수 있다는 뜻.
아전인수(我田引水)	자기 논에 물 대기라는 뜻으로 자기의 이익만 먼저 생각하고 행동한다는 말
어부지리(漁父之利)	둘 사이의 다툼 속에서 엉뚱한 사람이 이익을 본다는 뜻.
역지사지(易地思之)	입장을 바꾸어 다른 사람의 처지에서 생각하라는 말
연목구어(緣木求魚)	나무에 올라 물고기를 구함. 불가능한 일을 하려 함.
염량세태(炎凉世態)	필요하면 붙고, 필요없으면 버리는 세상의 모습.
오도독(五毒毒)	독사, 전갈, 뱀, 지네, 거미를 일컫는 말로, 사람에게 해를 끼치는 5가지 독을 비유하는 말.
오비이락(烏飛梨落)	까마귀 날자 배가 떨어짐. 우연한 사건으로 의심이나 미움을 삼.
와신상담(臥薪嘗膽)	섶나무에 누워 쓸개를 맛봄. 원수를 갚기 위해 분을 참음.
우문현답(愚問賢答)	어리석은 질문과 어진 답.
우이독경(牛耳讀經)	소의 귀에 글을 읽어준다는 뜻으로, 아무리 알려주어도 이해하지 못함을 이르는 말.
유유상종(類類相從)	비슷한 사람은 서로 어울린다는 뜻으로, 같은 성격이나 처지의 사람끼리 어울리게 되는 경향을 비유하는 말.
일망타진(一網打盡)	한 번의 그물질로 물고기를 다 잡는다는 뜻.
일장춘몽(一場春夢)	한바탕의 봄꿈. 허무한 일을 이르는 말.
일편단심(一片丹心)	한 조각의 붉은 마음이란 뜻으로, 진심을 의미함.
자가당착(自家撞着)	말과 행동이 일치하지 않고 부딪힘.
자강불식(自强不息)	스스로를 강하게 하고 쉬지 않는다는 뜻으로, 끊임없이 노력하여 발전하는 태도를 비유하는 말.
자업자득(自業自得)	자신이 저지른 일로 자신이 당함.
적반하장(賊反荷杖)	도둑이 도리어 매를 들음.
절치부심(切齒腐心)	이를 갈며 속을 썩임.
조삼모사(朝三暮四)	원숭이에게 먹이를 아침에 세 개, 저녁에 네 개 주던 것에서 아침에 네 개, 저녁에 세 개를 주는 것으로 바꾸었더니 좋아한다는 이야기에서 유래. 잔꾀를 부림.
죽마고우(竹馬故友)	어릴적 대나무 말을 같이 타던 친한 친구사이.
진퇴양난(進退兩難)	나아갈수도 후퇴할수도 없는 곤란한 상황.
청출어람(靑出於藍)	푸른색은 쪽빛에서 나왔지만, 쪽빛보다 더 푸르다는 뜻으로 제자가 스승보다 나음을 비유하여 이르는 말
촌철살인(寸鐵殺人)	한 치의 칼로 사람을 죽인다는 뜻으로 간단한 말로도 사람을 감동하게 할 수 있음을 이르는 말
침소봉대(針小棒大)	바늘을 몽둥이로 만든다는 뜻으로, 과장하여 떠벌림.
타산지석(他山之石)	다른 산의 돌이라는 뜻으로 다른 사람의 실수도 나에게 교훈이 될 수 있음을 이르는 말
토사구팽(兔死狗烹)	토끼가 죽으면 사냥개를 없앤다는 뜻으로 필요할 때 실컷 부려 먹다가 쓸모가 없어지면 헌신짝처럼 내버린다는 말
파죽지세(破竹之勢)	대나무를 쪼개는 기세라는 뜻으로 적을 거침없이 물리치고 당당하게 쳐들어가는 기세를 이르는 말
팔방미인(八方美人)	여러 방면에서 우수한 사람을 이르는 말.
표리부동(表裏不同)	겉과 속이 다름.
풍전등화(風前燈火)	바람 앞에 놓인 등불이라는 뜻으로 매우 위태로움을 이르는 말
함흥차사(咸興差使)	심부름을 간 사람이 아무 소식이 없을 때 이르는 말
형설지공(螢雪之功)	반딧불과 눈을 이용해 공부함. 고생하면서 공부함.
호연지기(浩然之氣)	하늘과 땅 사이에 가득한 큰 기운.
혹세무민(惑世誣民)	세상을 혹하게 하고 백성을 거짓으로 속임.
화룡점정(畵龍點睛)	어떤 일을 할 때 가장 중요한 부분을 가장 늦게 완성함.
